"Installation Name","Program Name","Installation type","Year Energized",GeoCode,Address,City,State,Zip,"Project Status","Utility Name","Project Developer or Owner","Project Capacity KW-AC","System Size Category","LMI Share of Capacity","LMI Project Capacity KW-AC","LMI Requirement","Utility Type","Regulatory Structure","Energy Rate Average","Energy Rate Category","Community Solar Bill Credit Value","Community Solar Enabling Legislation","Value of State Level RECs & Subsidies","Eligible for Tax Benefits","LMI Customer Savings (category)","LMI Customer Savings %","Minimum LMI Savings Mandated","Potential # LMI Subscribers"
"Franklin Square Village","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-75.07652797567746,39.83701961694803","303-306 S. Hildebrand Avenue",Glendora,"New Jersey",08029,Operational,"Public Service Electric and Gas (PSE&G)","Franklin Square Owner, LLC",286,"Less than 500 KW",51,146,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,58
"Friars Community Solar Project",SharePower,Ground,2020,"-77.00427610778452,38.91909644996379","2131 Lincoln Road NE",Washington,"District of Columbia",20002,Operational,"Potomac Electric Power Company (Pepco) DC",Groundswell,200,"Less than 500 KW",25,50,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,12
"Fruitland Creek","Oregon Shines",Ground,2021,"-122.937693,44.930154","6025 State St",Salem,Oregon,97317,Planned,"Portland Gas and Electric (PGE)","FC PM, LLC",1750,"500 KW to 1,999 KW",10,175,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,70
"Gar Creek Community Solar","Illinois Solar for All",Ground,2022,"-87.86253953848554,41.12051122652991","S 1000 W Rd & W 2000S Rd
Kankakee Township, IL 
",Kankakee,Illinois,60901,Planned,"Commonwealth Edison Company (ComEd)",trajectory-energy-partners,3500,"More than 2 MW",90,3150,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,600
"GC Solar 2, LLC","Solar Rewards Community CO",Ground,2014,"-104.782633,39.808329","5050 N Telluride",Denver,Colorado,80239,Operational,"Public Service Company of Colorado (PSCo)","GC Solar",384,"Less than 500 KW",5,20,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",100,No,8
"Glorious Health Club","DC Solar for All",Mixed,2020,"-76.97973970217316,38.916358337555295","2120 West Virginia Ave NE",Washington,"District of Columbia",20002,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",140,"Less than 500 KW",100.00,140.00,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100.00,Yes,56
"GNDC La Vista","Multifamily Shared Solar Pilot Program",Roof,2019,"-97.733219,30.266917","813 E 8th St",Austin,Texas,78702,Operational,"Austin Energy",,97,"Less than 500 KW",100,97,"Income eligible only","Municipally-owned utility",Deregulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","No enabling legislation, but projects exist","Low = less than 10% of value stack",No,"Moderate = 20% to 50%",45,No,22
"Goodling Annex","Bonneville Environmental Foundation",Ground,2021,"-122.632105,45.589398","9138 NE Sunderland Avenue",Portland,Oregon,97211,Operational,"Portland Gas and Electric (PGE)","Bonneville Environmental Foundation",1000,"500 KW to 1,999 KW",60,600,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.11,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",20,No,240
Goodrich,"Multifamily Shared Solar Pilot Program",Roof,2020,"-97.775262,30.248445","2126 Goodrich Ave",Austin,Texas,78704,Operational,"Austin Energy",,258,"Less than 500 KW",100,258,"Income eligible only","Municipally-owned utility",Deregulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","No enabling legislation, but projects exist","Low = less than 10% of value stack",No,"Moderate = 20% to 50%",45,No,120
"Grand Valley Power Community Solar Project","Grand Valley Power Community Solar",Ground,2015,"-108.64662466060335,39.12744033075271",,"Grand Junction",Colorado,,Operational,"Grand Valley Power","GRID Alternatives",157,"Less than 500 KW",80,126,"Income eligible only","Cooperative utility",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",No,"High = greater than 50%",66,No,50
"Green Earth Energy Photovoltaic",SMART,Roof,2022,"-72.52966395447207,42.03807688358914","160-158 Denslow Rd","East Longmeadow",Massachusetts,01028,Planned,"National Grid (Massachusetts Electric)",,86,"Less than 500 KW",51,44,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.22,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"Moderate = 20% to 50%",35,Yes,18
"Hancock Installation","Potomac Edison - Community Solar Pilot Program",Ground,2019,"-78.15322069372145,39.707784948509946",,Hancock,Maryland,21750,Operational,"Potomac Edison","SGC Power LLC/ Nautilus Solar Energy",2000,"More than 2 MW",30,600,Carve-out,"Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Moderate = 20% to 50%",25,No,240
"Harrison Condominiums (5201 Wisconsin Ave NW)","DC Solar for All",Roof,2021,"-77.08347660315312,38.95736244370007","5201 Wisconsin Ave NW",Washington,"District of Columbia",20015,Operational,"Potomac Electric Power Company (Pepco) DC",SaveSolar,90,"Less than 500 KW",100.00,90.00,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100.00,Yes,36
"Hartz Solar, LLC - Jersey City","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.07206644215012,40.70062714291626","99 Caven Point Road","Jersey City","New Jersey",07305,Operational,"Public Service Electric and Gas (PSE&G)","Hartz Solar",728,"500 KW to 1,999 KW",51,371,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,148
"Hartz Solar, LLC - Newark","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.13223752337151,40.71636267560338","601 Doremus Avenue",Newark,"New Jersey",07105,Operational,"Public Service Electric and Gas (PSE&G)","Hartz Solar",1522,"500 KW to 1,999 KW",51,776,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,310
"Hartz Solar, LLC - North Bergen","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.03338157589332,40.794907215729076","5601 Westside Avenue","Township of North Bergen","New Jersey",07047,Operational,"Public Service Electric and Gas (PSE&G)","Hartz Solar",1501,"500 KW to 1,999 KW",51,765,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,306
"Hartz Solar, LLC - Secaucus","New Jersey Community Solar Pilot Program Phase 1",Roof,2021,"-74.07840420766425,40.76753049984525","111 Castle Road",Secaucus,"New Jersey",07094,Operational,"Public Service Electric and Gas (PSE&G)","Hartz Solar",1031,"500 KW to 1,999 KW",51.00,526.00,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18.00,No,210
Haven,"Cooperative Energy Futures Community Solar Garden",Ground,2019,"-94.12195987174431,45.47819207683177","4th Ave S","Saint Cloud",Minnesota,56301,Operational,"Xcel Energy","Cooperative Energy Futures",1300,"500 KW to 1,999 KW",41,780,Carve-out,"Investor-owned utility (IOU)",Regulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Value of Solar","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",6,No,312
"Henderson Solar LLC","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-74.30336187392733,40.858451041207786","5 Henderson Drive","West Caldwell","New Jersey",07006,Planned,"Public Service Electric and Gas (PSE&G)","Henderson Solar LLC",732,"500 KW to 1,999 KW",51,373,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,149
"Horning Brothers Apartments","DC Solar for All",Roof,2020,"-77.04581775284186,38.897059330673564","2020 F St NW",Washington,"District of Columbia",20006,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",1400,"500 KW to 1,999 KW",100,1400,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,560
"Horning Girard","DC Solar for All",Roof,2021,"-76.9825607930603,38.926501699742644","1545 Girard St NE",Washington,"District of Columbia",20018,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",120,"Less than 500 KW",100,120,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,48
"Hughes Memorial United Methodist Church","DC Solar for All",Roof,2021,"-76.92560698019463,38.890573372355064","25 53rd St NE",Washington,"District of Columbia",20019,Operational,"Potomac Electric Power Company (Pepco) DC","New Columbia Solar",60,"Less than 500 KW",100,60,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,24
"Hunter Place 1","DC Solar for All",Roof,2020,"-76.98459799224325,38.85973143569463","2215 Hunter Place SE",Washington,"District of Columbia",20020,Operational,"Potomac Electric Power Company (Pepco) DC","Flywheel Development",72,"Less than 500 KW",100,72,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,29
"ILSFA: 11400 S Torrence","Illinois Solar for All",Ground,2022,"-87.56162488381159,41.6864399180184",,Chicago,Illinois,,Planned,"Commonwealth Edison Company (ComEd)","Community Power Group",3900,"More than 2 MW",100,3900,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,1560
"ILSFA: 1166 N. HORSMAN STREET, Rockford","Illinois Solar for All",Ground,2022,"-89.09927129023369,42.2855030242964","1166 N. HORSMAN STREET",Rockford,Illinois,61101,Planned,"Commonwealth Edison Company (ComEd)",Nexamp,2000,"More than 2 MW",88,1760,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",100,Yes,704
"ILSFA: 1400 Twombley Rd. DeKalb IL","Illinois Solar for All",Ground,2021,"-88.75265327665046,41.92898146880025",,DeKalb,Illinois,,Operational,"Commonwealth Edison Company (ComEd)","SA Energy",2000,"More than 2 MW",100,2000,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,800
"ILSFA: 1850 County Road 2280 E, Watseka","Illinois Solar for All",Ground,2022,"-87.73134675804216,40.77544466723125",,Watseka,Illinois,,Planned,Ameren,"Novel Energy Solutions LLC",190,"Less than 500 KW",60,114,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,46
"ILSFA: 2206 Dale Drive","Illinois Solar for All",Roof,2020,"-88.27420050357973,40.140138562429506","2206 Dale Drive",Champaign,Illinois,61821,Operational,Ameren,"Solar Sense, Inc.",20,"Less than 500 KW",100,20,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,8
"ILSFA: 2300 E Barr Ave, Urbana","Illinois Solar for All",Ground,2022,"-88.17768292050337,40.121029858170644","2300 E. Barr Avenue",Urbana,Illinois,61802,Planned,Ameren,"SunPower Corporation, Systems",3700,"More than 2 MW",70,2590,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,1036
"ILSFA: 3429 Camp Jackson Road, Cahokia","Illinois Solar for All",Ground,2021,"-90.1138602845814,38.55549483430172","3429 Camp Jackson Road, Cahokia, IL, 62206",Cahokia,Illinois,62206,Operational,Ameren,"Promethean Solar",1030,"500 KW to 1,999 KW",100,1030,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,412
"ILSFA: 3620 E Main Street","Illinois Solar for All",Ground,2022,"-87.63007413236917,40.12489932129099",,Danville,Illinois,61834,Planned,"Commonwealth Edison Company (ComEd)","Central Road Energy LLC",500,"500 KW to 1,999 KW",60,300,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,120
"ILSFA: 6702 Bond Avenue, Cahokia","Illinois Solar for All",Ground,2022,"-90.10536063364339,38.566796656995194","6702 Bond Ave",Cahokia,Illinois,62206,Operational,Ameren,"Promethean Solar",1000,"500 KW to 1,999 KW",100,1000,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,400
"ILSFA: 909 W Kirby Ave. Champaign","Illinois Solar for All",Roof,2021,"-88.25931613404877,40.09780779542205","909 W Kirby Ave",Champaign,Illinois,61821,Operational,Ameren,"Solar Sense, Inc.",30,"Less than 500 KW",100,30,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,12
"ILSFA: 932 Harrison Street, Galesburg","Illinois Solar for All",Ground,2020,"-90.35355465935473,40.957226293262885","932 Harrison Street, Galesburg, IL",Galesburg,Illinois,61401,Operational,Ameren,"Promethean Solar",750,"500 KW to 1,999 KW",60,450,"Income eligible only","Investor-owned utility (IOU)",Deregulated,0.13,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","High = more than 25% of value stack",Yes,"High = greater than 50%",50,Yes,180
"Imboden II Solar LLC","Solar Rewards Community CO",Ground,2018,"-104.587021,39.786417","5135 Imboden Road ",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)",SunShare,1535,"500 KW to 1,999 KW",6,84,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,34
"Imboden III Solar LLC","Solar Rewards Community CO",Ground,2018,"-104.585390,39.785042","5135 Imboden Road ",Watkins,Colorado,80137,Operational,"Public Service Company of Colorado (PSCo)",SunShare,1535,"500 KW to 1,999 KW",6,84,Carve-out,"Investor-owned utility (IOU)",Regulated,0.12,"Moderate = $0.11 - $0.15 per kWh","Supply-only/Avoided Cost","Enabling Legislation","Moderate = 10% to 25% of value stack",Yes,"High = greater than 50%",50,No,34
"Independence - 1650 Sherman Ave","New Jersey Community Solar Pilot Program Phase 2",Roof,2022,"-75.05163382194756,39.96950931015642","1650 Sherman Avenue",Pennsauken,"New Jersey",08110,Planned,"Public Service Electric and Gas (PSE&G)","Independence Solar, LLC",892,"500 KW to 1,999 KW",51,455,Carve-out,"Investor-owned utility (IOU)",Regulated,0.16,"High = more than $0.15 per kWh","Retail Rate","Enabling Legislation","High = more than 25% of value stack",Yes,"Low = less than 20%",18,No,182
